work_title,country,year,source_url,source_name
Love O2O,C,2016,https://bitchesoverdramas.com/2019/02/18/love-o2o-xiao-nais-sss-dialogues/,Bitches Over Dramas
Descendants of the Sun,K,2016,https://sliceofasianlife.com/2016/04/13/descendants-of-the-sun-quotes/,Slice of Asian Life
Descendants of the Sun,K,2016,https://www.koreatimes.co.kr/entertainment/shows-dramas/20160310/10-sweetest-quotes-from-descendants-of-the-sun,The Korea Times
Hana Yori Dango,J,2005,https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,Shapes
Crash Landing on You,K,2019,https://moviesense.io/crash-landing-on-you/quotes,MovieSense
The Untamed,C,2019,https://filmdaily.co/news/the-untamed-heartfelt-quotes/,Film Daily
